1000
300
0.8158
0.6263
2
0
 6.50756217e-01 8.99624265e-01 9.36559933e-01 3.02172234e-01
 2.05322977e-01 6.01120082e-01 6.88136544e-01 3.09419798e-02
 5.27748416e-01 3.56514252e-01 1.93710795e-01 6.98077443e-01
 2.20817872e-01 1.71706078e-01 2.15838825e-01 8.20080299e-02
 1.22714275e-01 8.37956134e-01 9.05599186e-01 8.05267355e-01
 9.68781280e-01 6.21841573e-01 9.42048796e-01 9.15784786e-01
 4.50054322e-01 8.90724674e-01 7.59231203e-01 2.82513044e-01
 7.13103056e-02 1.50120226e-02 3.03232116e-01 5.89538444e-01
 9.37648134e-01 8.35205177e-01 8.66453085e-01 3.23699803e-01
 9.65809480e-01 3.46810843e-01 3.90639386e-01 5.03886412e-01
 3.90684317e-01 7.47297085e-01 3.25623977e-01 1.33998704e-01
 3.09349342e-01 5.41496253e-02 9.63384770e-01 2.71543520e-01
 2.19595157e-01 7.40980777e-01 9.97936813e-01 1.06938785e-02
 2.31299483e-01 8.69618504e-01 6.20885711e-01 1.49672998e-01
 7.17725515e-01 8.57209194e-01 2.85549742e-01 8.18533112e-01
 3.79201202e-01 4.04027737e-01 1.30725120e-01 8.34596378e-01
 3.26822242e-01 2.15785706e-01 8.66480170e-01 5.67606392e-01
 8.67524244e-01 9.82808494e-02 5.94547707e-01 5.25832848e-01
 7.94952539e-01 9.14337807e-01 3.83720195e-01 8.30901116e-01
 9.60878056e-01 8.00235125e-01 9.21148618e-01 3.99485339e-01
 2.46347044e-01 3.01771607e-02 3.91101239e-01 9.63820006e-01
 4.55850584e-01 8.42938501e-01 2.44067196e-01 5.46103931e-01
 8.00012749e-01 5.14305046e-01 3.69592282e-01 4.34110305e-01
 9.64057915e-01 9.47634542e-01 7.60107340e-01 8.48065283e-01
 6.57828002e-01 3.57339854e-01 4.45552583e-01 4.60609896e-01
 8.41996261e-01 4.41427300e-01 6.38786286e-01 1.55687828e-01
 4.48829049e-02 9.13447851e-01 2.99492805e-01 5.61706053e-01
 4.23745448e-01 6.53822182e-01 8.35699894e-01 2.33367788e-01
 3.61469115e-01 4.51292350e-01 4.26033373e-02 1.75822869e-01
 1.93203200e-01 1.49643344e-02 8.78139632e-01 6.89896525e-01
 9.18987748e-01 7.09899861e-01 2.74181804e-02 7.92258495e-01
 7.94851085e-02 8.79945168e-01 7.23010296e-01 5.91604359e-01
 9.55120747e-01 3.24570619e-01 4.62880795e-01 4.25433152e-01
 8.29180164e-01 3.05060994e-02 2.29168190e-01 8.87627119e-01
 6.43168678e-01 3.56651330e-01 8.76468322e-02 8.96002025e-01
 9.06689898e-01 6.68318486e-01 9.82766564e-01 3.81205815e-02
 2.07867727e-01 8.74317367e-01 8.91412116e-01 5.07008388e-02
 6.34847655e-01 2.14148715e-01 7.20769986e-01 9.77838468e-01
 6.80814879e-01 1.93004081e-01 3.86537619e-01 9.50532563e-01
 3.05926752e-01 9.01476632e-02 5.42839835e-01 3.05689272e-01
 3.38426634e-01 3.46776109e-01 1.08347874e-01 3.60961369e-01
 3.10658758e-01 9.42262771e-01 2.13434168e-01 2.12569021e-02
 2.90825726e-01 8.70421471e-02 1.44418030e-01 6.16853691e-01
 7.22034664e-01 3.60887802e-01 8.57634456e-01 4.52064379e-02
 6.85641670e-01 9.09428726e-01 8.86985627e-01 7.23802722e-01
 5.94418447e-01 4.66373011e-01 4.43270695e-01 4.81995316e-01
 5.38489256e-01 6.32195832e-01 4.66132833e-01 5.13428405e-01
 8.24096703e-01 8.97997308e-01 5.33422088e-01 1.28447513e-02
 2.31739125e-01 1.00989629e-02 8.62028735e-01 7.75744777e-01
